,Player,09/10vs. PIT,09/17vs. LAR,09/21vs. NYG,10/01vs. ARI,10/08vs. DAL,10/15vs. CLE,10/23vs. MIN,10/29vs. CIN,11/12vs. JAX,11/19vs. TAM,11/23vs. SEA,12/03vs. PHI,12/10vs. SEA,12/17vs. ARI,12/25vs. BAL,12/31vs. WAS,01/07vs. LAR,01/20vs. GNB,01/28vs. DET,02/11vs. KAN
,Brandon Aiyuk,,,Q,,,,,,,,,,,,,,,,,
,Arik Armstead,,,,,,,,,,,,Q,O,O,O,O,O,,,
,Anthony Averett,IR,,,,,,,,,,,,,,,,,,,
,Aaron Banks,,,,,,,,,O,O,Q,,,,,Q,,,,
,Robert Beal,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,Q,,,,,,,,,
,Ji'Ayir Brown,,,,,,,,,,,,,,,,O,O,,,
,Spencer Burford,,,,,,,,,,,Q,,D,Q,,,,,,
,Oren Burks,,,,,,,,,,,,,,O,O,,,,Q,
,Taco Charlton,IR,,,,,,,,,,,,,,,,,,,
,Kalia Davis,,,,,,,,,,,,,,,IR,IR,IR,IR,Q,O
,Ross Dwelley,,,,,,,,,,,,,O,O,O,O,O,IR,IR,IR
,Jon Feliciano,,,,,Q,,,,,,,,,,,,Q,,,
,Clelin Ferrell,,,,,,,,,,,,,,,,,,O,IR,IR
,Demetrius Flannigan-Fowles,,,,Q,,,,,Q,,,,,,,Q,,,,
,Tashaun Gipson,,,,,,,,,,,,,,,,,O,,,
,Zane Gonzalez,IR,IR,IR,IR,,,,,,,,,,,,,,,,
,Danny Gray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,Q,IR,IR,IR
,Dre Greenlaw,,,,Q,,Q,Q,,,,,,,Q,,,,Q,,
,Javon Hargrave,,,,,,,,,Q,,,,,O,Q,,,,,
,Tayler Hawkins,IR,,,,,,,,,,,,,,,,,IR,IR,IR
,Talanoa Hufanga,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Drake Jackson,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jauan Jennings,,,,D,,,,,,,,,,,O,O,Q,,,
,Darryl Johnson,IR,,,,,,,,,,,,,,,,,,,
,George Kittle,Q,,,,,,,,,,,,,,,,,,,
,Cameron Latu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Darrell Luter,,,,,,,,,Q,Q,,,D,,,,,,,
,Jordan Mason,,,,,,,,,,,,Q,,,,Q,,,,
,Christian McCaffrey,,,,,,,Q,,,,,,,,,,O,,,
,Ray-Ray McCloud,,,,,,,,,,,,Q,IR,IR,IR,IR,Q,,,
,Elijah Mitchell,,,,Q,O,Q,,,,,,,D,O,Q,,,,,
,Terrance Mitchell,IR,,,,,,,,,,,,,,,,,,,
,Jaylon Moore,,,,,,,,,,,,,,,,O,,,,
,George Odum,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,
,AJ Parker,IR,,,,,,,,,,,,,,,,,,,
,Brock Purdy,,,,,,,,,,,,,,,,,,,,
,Deebo Samuel,,,,Q,,,O,O,,,,,,,,,,,,
,Ambry Thomas,,,Q,,,,,,,,,,,,,Q,O,,,
,Jason Verrett,,,,,,,,,,,,,,,,,,IR,IR,IR
,Charvarius Ward,Q,,,,,,,,,,,,,Q,,,,,,
,Trent Williams,,,,,,,D,Q,Q,,,,,,,,,,,
,Samuel Womack,,O,IR,IR,IR,IR,IR,IR,Q,Q,Q,,,,,,,,,
,Nick Zakelj,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
