,Player,09/10vs. GNB,09/17vs. TAM,09/24vs. KAN,10/01vs. DEN,10/05vs. WAS,10/15vs. MIN,10/22vs. LVR,10/29vs. LAC,11/05vs. NOR,11/09vs. CAR,11/19vs. DET,11/27vs. MIN,12/10vs. DET,12/17vs. CLE,12/24vs. ARI,12/31vs. ATL,01/07vs. GNB
,Josh Blackwell,,O,,IR,IR,IR,IR,IR,IR,Q,,,,,,,
,Khari Blasingame,,,,,,,,,,O,,,,,,,
,Larry Borom,,,,,,,,,,,,O,,,,,
,Jaquan Brisker,,,,,Q,,Q,O,O,,,,,Q,,,
,Chase Claypool,,,,,O,,,,,,,,,,,,
,Adrian Colbert,IR,IR,,,,,,,,,,,,,,,
,Dylan Cole,Q,,,,,,,,,,,,,,,,
,Nate Davis,,D,Q,,,,O,O,O,O,,,,,,,
,Tremaine Edmunds,,,,,,,,,O,O,Q,,,,,,
,Dan Feeney,,,,,,,Q,Q,,,,,,,,,
,Justin Fields,,,,,,,O,O,D,D,,,,,,,
,Isaiah Ford,IR,,,,,,,,,,,,,,,,
,D'Onta Foreman,,,,,,,,,,,Q,O,,,Q,,
,Kyler Gordon,,IR,IR,IR,IR,,,,,,,,,,,,Q
,Khalil Herbert,,,,,,O,IR,IR,IR,Q,,,,,,,Q
,Travis Homer,,,,Q,,O,,,,,,,,,Q,,
,Eddie Jackson,,,O,O,O,Q,O,Q,,,,,,,,,
,Teven Jenkins,IR,IR,IR,IR,Q,,,,,,,,,,O,,
,Buddy Johnson,IR,IR,IR,IR,,,,,,,,,,,,,
,Jaylon Johnson,,,,O,O,,,,,,,,,,,,D
,Roschon Johnson,,,,,,O,O,,,,,,,,,,
,Braxton Jones,,,IR,IR,IR,IR,IR,IR,Q,,,,,,,,
,Velus Jones Jr.,,,,,,,,,,,,,Q,,,,
,Khalid Kareem,,,IR,IR,IR,IR,IR,IR,,,,,,,,,
,Cole Kmet,,,,,,,,,,,,,,,Q,Q,Q
,Doug Kramer,IR,IR,IR,IR,IR,,,,,,,,,,,,
,Darnell Mooney,,,,,,,,,,,,,,,,O,O
,D.J. Moore,,,,,,,,,,,,,,Q,,,
,Yannick Ngakoue,,,,,,,,,,,,,Q,IR,IR,IR,IR
,Lucas Patrick,,,,,,Q,,,,,,,,,,Q,Q
,Dante Pettis,IR,,,,,,,,,,,,,,,,
,Jared Pinkney,IR,IR,IR,,,,,,,,,,,,,,
,Jack Sanborn,,,,,,,,,,,Q,,,,,,
,Patrick Scales,,,,,,,,,,,,,,,,,Q
,Tyler Scott,,,,,,,,,,,,,Q,,,,
,Noah Sewell,,,,,,,,,,,O,O,,O,O,,
,Terell Smith,,,,,,O,O,O,O,O,,,,,,,
,Equanimeous St. Brown,,,,,,O,IR,IR,IR,Q,,,O,O,O,,
,Tyrique Stevenson,,,,,,,,,,Q,,O,,,,,
,Jake Tonges,IR,,,,,,,,,,,,,,,,
,Robert Tonyan,Q,,,,,,,,,,,,,,,,
,Darnell Wright,,,,,,,Q,,,,,,,,,,
