,Player,09/11vs. NYJ,09/17vs. LVR,09/24vs. WAS,10/01vs. MIA,10/08vs. JAX,10/15vs. NYG,10/22vs. NWE,10/26vs. TAM,11/05vs. CIN,11/13vs. DEN,11/19vs. NYJ,11/26vs. PHI,12/10vs. KAN,12/17vs. DAL,12/23vs. LAC,12/31vs. NWE,01/07vs. MIA,01/15vs. PIT,01/21vs. KAN
,Matt Barkley,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
,Christian Benford,,,,,Q,,,,,O,,,,,,,,,O
,Terrel Bernard,,,,,,,,,,Q,,,,,,,,,Q
,Kameron Cline,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
,Cameron Dantzler,IR,,,,,,,,,,,,,,,,,,
,Zach Davidson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Gabriel Davis,,,,,,,,,,,,,,,,,,O,O
,Tyrel Dodson,,,,,,,,,,,,,,,,,,Q,
,Rasul Douglas,,,,,,,,,,,,,,,,,,Q,Q
,Tommy Doyle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kaiir Elam,,,,,,,,,IR,IR,IR,IR,Q,Q,Q,,,,
,A.J. Epenesa,,,,,,,,,,,,,,O,Q,Q,,,
,Damar Hamlin,,,,,,,,,,,,,,,,Q,,,
,Damien Harris,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Micah Hyde,,,,,,,,,,O,,,,O,O,,,,
,Dane Jackson,,,,,,Q,,,,,,O,,,,,,,
,Taron Johnson,,,,,,,,,,,,,,,,,,,Q
,Ty Johnson,,,,,,,,,,,,,,,Q,,,,
,DaQuan Jones,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,,,
,Dalton Kincaid,,,,,,Q,,,,,,,,,,,,,
,A.J. Klein,,,,,,,,,O,,,,,,,,,,
,Dawson Knox,,,,,,Q,,O,IR,IR,IR,IR,Q,,,,,,
,Cameron Lewis,,,,,,,Q,,,,,,,,,,,,
,Sam Martin,,,,,,,,,,,,,,,,,,,Q
,Matt Milano,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Von Miller,,,,,Q,,,,,,,,,,,,,,
,Quintin Morris,,,,,,,O,O,,,,,,,,,,,
,Ed Oliver,,,,,,,O,,,,,,,,,,,,
,Jordan Phillips,,,,,,,,,,,Q,,,,IR,IR,IR,IR,IR
,Jordan Poyer,,,,O,,,,,,,,,,,,,,,
,Taylor Rapp,,,,,,,,,,,,O,,,,,,O,O
,Shane Ray,IR,,,,,,,,,,,,,,,,,,
,Gregory Rousseau,,,,,O,,,,,,,,,,,,,,
,Trent Sherfield,,,,,,,,,,,Q,,,,,,,,
,Justin Shorter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,O,Q,IR,IR,IR
,Baylon Spector,IR,IR,IR,IR,IR,IR,,O,O,,,,,,,,,,O
,Tre'Davious White,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
