,Player,09/10vs. CIN,09/18vs. PIT,09/24vs. TEN,10/01vs. BAL,10/15vs. SFO,10/22vs. IND,10/29vs. SEA,11/05vs. ARI,11/12vs. BAL,11/19vs. PIT,11/26vs. DEN,12/03vs. LAR,12/10vs. JAX,12/17vs. CHI,12/24vs. HOU,12/28vs. NYJ,01/07vs. CIN,01/13vs. HOU
,Daylen Baldwin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
,David Bell,,,,,,,,O,O,,,,,,,,,
,Joel Bitonio,,,,,O,,,,,,,,,,Q,,,
,Corey Bojorquez,,,,,,,,,,,,,,,,D,Q,
,Harrison Bryant,,,,,,Q,,,,,,,,,,,,
,Nick Chubb,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jack Conklin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Amari Cooper,,Q,,,,,,,,,,,Q,,,Q,O,
,Dawson Deaton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Grant Delpit,,,,,,,,,,,,,,IR,IR,IR,IR,O
,Michael Dunn,,,,,,IR,IR,IR,IR,Q,,,,,,,,
,Jordan Elliott,,,,,,,,,,,,,,Q,,,,
,Jerome Ford,,,,,,,Q,,,,,,,,,,,
,Mike Ford,,,,,,,,,,,,,,,,,O,Q
,Myles Garrett,,,,,,,,,,,,,,,,,O,
,Marquise Goodwin,,,,,,,Q,,O,O,O,O,,,,Q,Q,
,Thomas Graham,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
,Jakeem Grant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Nick Harris,,,,,,,,,,,,Q,,,,,,
,Dustin Hopkins,,,,,,,,,,,,,,,,O,O,O
,James Hudson,,,Q,,,,,,,,,,,,,,,
,Kareem Hunt,,,,,,Q,,,,,,,,,,,,
,Maurice Hurst Jr.,,,,,,,,,,,,,,IR,IR,IR,IR,IR
,Siaki Ika,,Q,,,,,,,,,,,,,,,,
,Dawand Jones,,,,,,,,Q,O,Q,,,O,IR,IR,IR,IR,IR
,Thakarius Keyes,IR,IR,IR,,,,,,,,,,,,,,,
,Jordan Kunaszyk,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,O,O,,Q,
,Rodney McLeod,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
,Cameron Mitchell,,,,,,,,,IR,IR,IR,IR,Q,,,,,
,Elijah Moore,,,,,,,,,,,,,,,,,Q,
,Greg Newsome II,,,O,,,Q,,O,Q,,,,,,,,O,
,David Njoku,,,,Q,Q,,,,,,,,,,,,,
,Ty Nsekhe,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Ogbonnia Okoronkwo,,,,,,,,,,,,,,O,O,,,
,Jacob Phillips,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Ethan Pocic,,,,,Q,,,,,,,,,O,,,,
,Anthony Schwartz,,IR,IR,,,,,,,,,,,,,,,
,Pierre Strong,,,,,,,,,Q,,,,,,,,,Q
,Sione Takitaki,,,,,,O,Q,,,,,,,,,,,
,Dorian Thompson-Robinson,,,,,,,,,,,,O,,,,IR,IR,IR
,Juan Thornhill,Q,Q,,,,,,,,O,Q,,,,O,Q,O,Q
,Cedric Tillman,,,,,O,,,,,,,,,,,,,O
,Anthony Walker,,,,,,,,,,,Q,,,Q,O,O,IR,IR
,Denzel Ward,,,,,,,,,,,O,O,Q,Q,,,,Q
,Deshaun Watson,,,,Q,O,Q,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jedrick Wills Jr.,,,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Alex Wright,,,,,,,,O,,,,,,,,,,
