,Player,09/10vs. MIN,09/17vs. CHI,09/25vs. PHI,10/01vs. NOR,10/15vs. DET,10/22vs. ATL,10/26vs. BUF,11/05vs. HOU,11/12vs. TEN,11/19vs. SFO,11/26vs. IND,12/03vs. CAR,12/10vs. ATL,12/17vs. GNB,12/24vs. JAX,12/31vs. NOR,01/07vs. CAR,01/15vs. PHI,01/21vs. DET
,Shaquil Barrett,,,,,Q,,,,,,,,,,,O,,,Q
,K.J. Britt,,,,,,,,,,,,,Q,,,,D,Q,
,Jake Camarda,,,,,,,,,,,,,,,,,Q,,
,Lavonte David,,,,,,,,,,,O,O,,,,,,,
,Carlton Davis,,O,Q,Q,,,,,Q,Q,Q,,,O,,O,Q,,
,Jamel Dean,,,,O,,,,,Q,,O,O,O,Q,,,,,
,SirVocea Dennis,,O,O,O,,,,,,,,D,,,,,,,
,Silas Dzansi,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,
,Chase Edmonds,,,IR,IR,IR,IR,,,,,,,,,,,,,Q
,Matt Feiler,,,,,,,O,O,D,Q,,,,,,,,,
,Russell Gage,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,William Gholston,,,,,,,,,,,,,,O,Q,,,,
,Cam Gill,,,,,,,,,,,,,,,,,Q,,
,Chris Godwin,,,,,,,Q,,,,,Q,,Q,,,,,
,Mike Greene,,,,,,,,,,,O,O,IR,IR,IR,O,O,O,IR
,Logan Hall,,,,,,,,O,Q,,Q,,,,,,,,
,Josh Hayes,,,,,,,,,O,Q,,,,Q,,,,Q,
,Christian Izien,,Q,,,,,,Q,,,,,,,,,,,
,Rakim Jarrett,,,,,,,,,,,IR,IR,IR,IR,O,O,Q,,
,Ryan Jensen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Calijah Kancey,Q,O,O,O,,,,,Q,,,,,,,,,,
,Ko Kieft,,,,,,,,,,,,,,,,O,Q,,
,Cody Mauch,Q,,Q,,,,,,,,,,,,,,,,
,Baker Mayfield,,,,,,,Q,,,,,,,,,,Q,Q,
,Kaevon Merriweather,,,,,,,O,Q,,,,,,,,,,,
,Ryan Neal,,,,,,,,,,O,,,,O,,,,,
,Anthony Nelson,,,,,D,Q,,,,,,,,,,,,,
,Trey Palmer,,,,,,,,,Q,,,,,,,,Q,,
,Derrek Pitts,,,,O,,,,,,,,,,,,,,,
,Zach Triner,,,,,,,,,,,,,,Q,,,,,
,Vita Vea,,,Q,Q,,Q,Q,Q,,,,,Q,Q,,,,,
,Devin White,,,Q,Q,,,,,,Q,Q,O,O,Q,,,,,
,Rachaad White,,,,,,,,,,,Q,,,,,,,,
,Antoine Winfield Jr.,,,,,,,,,,,,,,,Q,,,,
,John Wolford,,,,,,,,,,,,,,,,,,,Q
