,Player,09/10vs. MIA,09/17vs. TEN,09/24vs. MIN,10/01vs. LVR,10/16vs. DAL,10/22vs. KAN,10/29vs. CHI,11/06vs. NYJ,11/12vs. DET,11/19vs. GNB,11/26vs. BAL,12/03vs. NWE,12/10vs. DEN,12/14vs. LVR,12/23vs. BUF,12/31vs. DEN,01/07vs. KAN
,Keenan Allen,,,,,,,,,,Q,,Q,,O,O,O,O
,Zack Bailey,,,,,,,,,,,,O,O,IR,IR,IR,IR
,Essang Bassey,,,,,,,,,,,,,,,Q,,
,Joey Bosa,,Q,Q,D,Q,,,,,,IR,IR,IR,IR,O,O,O
,Will Clapp,,,,,,,,,,,,,,,IR,IR,IR
,Austin Ekeler,,O,O,D,,,,,,,,,,,,,
,Gerald Everett,,,,,,,Q,,,O,Q,,,,,,
,Morgan Fox,,,,,,,,Q,,,,,,,,,
,Alohi Gilman,,,,Q,D,O,Q,,,,,,,,,,
,Jalen Guyton,,,,,,O,Q,Q,,Q,Q,,,,,,
,Kemon Hall,IR,,,,,,,,,,,,,,,,
,Daiyan Henley,D,D,Q,,,,,,,,,,,,,,
,Justin Herbert,,,,,,,,,,,,,,IR,IR,IR,IR
,Christopher Hinton,,,Q,,,,,,,,,,,,,,
,Justin Hollins,,,,,,,,,,,,,,,,,O
,Derwin James,,,,D,,Q,,,,,,,,,,,
,Zion Johnson,,,,,,,,,,,,,,,,Q,D
,Sebastian Joseph-Day,,,,,,,,Q,,,,,,,,,
,Eric Kendricks,,O,O,,,,,Q,,,,,,,,,
,Raheem Layne,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Deane Leonard,,,,D,D,O,Q,,,,,,O,O,D,Q,Q
,Corey Linsley,,,,O,,,,,,,,,,,,,
,Nicolas Melsop,IR,,,,,,,,,,,,,,,,
,Kenneth Murray,,,,,,,,Q,,,,,,,,D,D
,Tanner Muse,,,,,,,,,,,IR,IR,IR,IR,D,O,Q
,Amen Ogbongbemiga,,,,,,Q,,,,,,,Q,Q,,,
,Otito Ogbonnia,,,,,,O,Q,Q,,,,,Q,Q,,,
,Josh Palmer,,,,,Q,,Q,IR,IR,IR,IR,IR,O,,,O,
,Donald Parham,,,,,Q,,,,,,,,,Q,,,
,Trey Pipkins,,,,,,,,,,,,Q,,,,,
,Chris Rumph,D,O,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
,Stone Smartt,,,,,,,,,,,,,,,,,Q
,Isaiah Spiller,,,,,,,,,,Q,,,,,,,
,Ja'Sir Taylor,,,,,,,,,,,,O,,,,,
,Andrew Trainer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Tuli Tuipulotu,,,,,,,,,,,,,,,,,Q
,Amechi Uzodinma,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Nick Vannett,,,,,,,,,,,O,O,,,Q,Q,
,Mike Williams,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Nick Williams,,,,,Q,,,,,,,,,Q,Q,D,O
,JT Woods,,,,O,,,,,,O,O,O,,,,,
