,Player,09/07vs. DET,09/17vs. JAX,09/24vs. CHI,10/01vs. NYJ,10/08vs. MIN,10/12vs. DEN,10/22vs. LAC,10/29vs. DEN,11/05vs. MIA,11/20vs. PHI,11/26vs. LVR,12/03vs. GNB,12/10vs. BUF,12/17vs. NWE,12/25vs. LVR,12/31vs. CIN,01/07vs. LAC,01/13vs. MIA,01/21vs. BUF,01/28vs. BAL,02/11vs. SFO
,Nick Bolton,,,O,O,Q,,,O,IR,IR,IR,O,,,,,Q,,,,
,Bryan Cook,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Michael Danna,,,,,,,,,,,,,,,,,Q,,,,
,Matt Dickerson,,,,,Q,,,,,,,,,,,,,,,,
,Mike Edwards,,,,,,,,,,,,,,,,,,,,Q,
,Clyde Edwards-Helaire,,Q,,,,,,,O,,,,,,,Q,,,,,
,Jody Fortson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Willie Gay Jr.,,,Q,,,,,,Q,,,,,,,,,,Q,Q,
,Mecole Hardman,,,,,,,,,,,IR,IR,IR,IR,O,P,,,,,
,Richie James,,,O,IR,IR,IR,IR,IR,Q,Q,,,,,,,,,,,
,Nazeeh Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Cam Jones,,,,,,,,,,,,,,,,,,,IR,IR,IR
,George Karlaftis III,,,,,,Q,,,,,,,,,,,Q,,,,
,Travis Kelce,Q,Q,,,,Q,,,,,,,,,,,O,,,,
,Patrick Mahomes,,,,,,,,,,,,,,,,,D,,,,
,Trent McDuffie,,,,,,,,,,,,,,,,,Q,,,,
,Jerick McKinnon,,,,,,,,,,,O,O,,,O,IR,IR,IR,IR,IR,Q
,Isaiah Moore,IR,,,,,,,,,,,,,,,,,,,,
,Skyy Moore,,,,,,,,,,,,,,,IR,IR,IR,IR,O,O,
,Wanya Morris,,,,,Q,,,,,,,,,,,,,O,O,,
,Derrick Nnadi,,,,,,,,,,,,,,,,,,,O,O,IR
,Charles Omenihu,,,,,,,,,,,,,,,,,,,Q,,IR
,Isiah Pacheco,,,Q,,,,,,,,,,O,O,,P,Q,,,Q,
,Gerrit Prince,,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
,Rashee Rice,,,,,,,,,,,,,,,,,O,,,,
,Justyn Ross,,,,,,,,,,,,,,O,,,,Q,Q,,
,Donovan Smith,,,,,,,,,,,,,O,O,O,O,O,,,,
,L'Jarius Sneed,,,,,,,,,,,,,,,,Q,O,,,,
,Joe Thuney,,,,,,,,,,,,,,,,,,,,O,O
,Kadarius Toney,,,Q,,,,,,,,O,,,,O,O,O,Q,O,O,
,Tommy Townsend,,,,,,Q,,,,,,,,,,,,,,,
,Drue Tranquill,,,,,,,,,,,,,O,,,,,,,,
,Prince Tega Wanogho,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,O
,Jaylen Watson,,,,O,,,Q,,,,,,,,,,,,,,
,Justin Watson,,,,,,,O,,,,,,,,,,,,,,
,Joshua Williams,,,,,,,,,,,,,,Q,,,,,,,
