,Player,09/10vs. JAX,09/17vs. HOU,09/24vs. BAL,10/01vs. LAR,10/08vs. TEN,10/15vs. JAX,10/22vs. CLE,10/29vs. NOR,11/05vs. CAR,11/12vs. NWE,11/26vs. TAM,12/03vs. TEN,12/10vs. CIN,12/16vs. PIT,12/24vs. ATL,12/31vs. LVR,01/06vs. HOU
,Jack Anderson,,IR,IR,IR,IR,IR,IR,,,,,,,,O,,
,Genard Avery,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Julian Blackmon,,,,,,,,,,,,,,,,IR,IR
,Julius Brents,,,,,,,,O,O,O,O,O,O,,,,
,Tony Brown,,,,,,,,Q,,,,,,,,,
,DeForest Buckner,,,,Q,,,,,,,,,,,,,
,JoJo Domann,IR,,,,,,,,,,,,,,,,
,Josh Downs,,,,,,,,,Q,Q,,,,,,,
,Ashton Dulin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Sam Ehlinger,,,,Q,,,,,,,,,,,,,
,Ethan Fernea,IR,,,,,,,,,,,,,,,,
,Dallis Flowers,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Zaire Franklin,,,,,,,,,D,Q,,,,,,,
,Blake Freeland,,,,,,,,,Q,,,,,,,,
,Kylen Granson,,Q,,,,,O,O,,,,,,,,,
,KJ Hamler,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
,Evan Hull,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Eric Johnson,,,,,,,,Q,,,,,,,,,
,Ryan Kelly,,,O,O,,Q,,,,,O,,,,,,Q
,Chris Lammons,,,,,,,,,,,,,,,,,O
,Titus Leo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Shaquille Leonard,,,,,O,,,,,,,,,,,,
,Cameron McGrone,,,,,,,,,,,,,,,,D,
,D.J. Montgomery,,,,,,,,,,,,,,,,Q,
,Kenny Moore,,,Q,,,,,,,,,,,,,Q,Q
,Zack Moss,D,,,,,,,Q,,,,,,,O,O,Q
,Quenton Nelson,,Q,Q,Q,,,,,,,,,,,,,Q
,Andrew Ogletree,,Q,,,,,,,,O,O,,,,,,
,Segun Olubi,,,,,,,,,,,,,,O,O,,
,Kwity Paye,,,,,O,,,,,,,,,,,,
,Alec Pierce,,,,,,,Q,,,Q,,,,,,,
,Danny Pinter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Michael Pittman Jr.,,,,,,,,,,,,,,,O,Q,
,Bernhard Raimann,,,,O,O,,,,,,,,,,,,
,Anthony Richardson,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Derek Rivers,,,,,,,,,,,,,,IR,IR,IR,IR
,Daniel Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Ricky Seals-Jones,IR,,,,,,,,,,,,,,,,
,Braden Smith,,,,,,O,O,O,O,,,,O,O,O,Q,Q
,Ameer Speed,,,,,,,,,,,,,Q,,,,
,E.J. Speed,,,,,,,,,,,,,O,,,,
,Grant Stuard,,,,,,,,,,Q,Q,,,,,,
,Jonathan Taylor,,,,,,,,,,,,O,O,O,,,
,Isaac Taylor-Stuart,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Rodney Thomas II,,,,,,,,,Q,,,,,,,,
,Jake Witt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jelani Woods,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
