,Player,09/10vs. ARI,09/17vs. DEN,09/24vs. BUF,10/01vs. PHI,10/05vs. CHI,10/15vs. ATL,10/22vs. NYG,10/29vs. PHI,11/05vs. NWE,11/12vs. SEA,11/19vs. NYG,11/23vs. DAL,12/03vs. MIA,12/17vs. LAR,12/24vs. NYJ,12/31vs. SFO,01/07vs. DAL
,Jonathan Allen,,,,,,,,,,,,,,,,,O
,Troy Apke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
,Alex Armah,,,,,,,,,,,O,O,,,,,
,David Bada,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Cody Barton,,,,,,,,IR,IR,IR,IR,,,,,,
,Jacoby Brissett,,,,,,,,,,,,,,,,Q,
,Curtis Brooks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Percy Butler,,,,,,,,,Q,,,,,,Q,O,IR
,Tariq Castro-Fields,,,,,,,,,,,,,,,,,O
,Saahdiq Charles,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
,Kamren Curl,,,,,,,,,,,,,,,,,Q
,Braeden Daniels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jamin Davis,,,,,,,,,,,,,,IR,IR,IR,IR
,Brandon Dillon,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
,Emmanuel Forbes,,,,,,,,,,,,O,O,,,,
,Darrick Forrest,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kendall Fuller,,,,,,,,,,,,,,,,O,O
,Antonio Gibson,,,,,,,,,,,D,Q,,,,,
,De'Jon Harris,,,,,,,,,,,,O,IR,IR,IR,IR,
,Curtis Hodges,,,,,,,,,,,,,,IR,IR,IR,IR
,Christian Holmes,,,,,,O,,,,,,,,,,,O
,Khaleke Hudson,,,,,,,,,,,,Q,,,,,
,Tyler Larsen,,,,,,,,,,,,,Q,,O,O,IR
,Charles Leno Jr.,,,,,,O,,,,,,,,,O,O,IR
,Quan Martin,,O,,,,,,,,,,,,,,,
,Phidarian Mathis,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
,Kyric McGowan,IR,,,,,,,,,,,,,,,,
,Dax Milne,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Efe Obada,IR,IR,IR,IR,IR,Q,,,,,,O,IR,IR,IR,IR,IR
,Jeremy Reaves,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Brian Robinson Jr.,,,,,,,,,,,,,,O,O,,
,Chris Rodriguez,,,,,O,,,,,,,,,,,IR,IR
,Armani Rogers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Curtis Samuel,,,,,,,,Q,O,Q,,,,,,,
,Kaden Smith,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
,James Smith-Williams,Q,,,,,,,,,,O,O,O,O,,,
,Benjamin St-Juste,,,,,,,,,,,,,,,,O,
,Ricky Stromberg,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
,Logan Thomas,,,O,,,,,,,,,,,,,,
,Casey Toohill,,,,,,,,,,,,,,,,,Q
,Jonathan Williams,IR,,,,,,,,,,,,,,,,
,Andrew Wylie,,,,,,,,,,,,,,,,Q,Q
,Chase Young,O,,,,,,,,,,,,,,,,
