,Player,09/10vs. NWE,09/14vs. MIN,09/25vs. TAM,10/01vs. WAS,10/08vs. LAR,10/15vs. NYJ,10/22vs. MIA,10/29vs. WAS,11/05vs. DAL,11/20vs. KAN,11/26vs. BUF,12/03vs. SFO,12/10vs. DAL,12/18vs. SEA,12/25vs. NYG,12/31vs. ARI,01/07vs. NYG,01/15vs. TAM
,Devon Allen,,,,,,,,,,,,,,,,IR,IR,IR
,Derek Barnett,,,,,,,,,,O,,,,,,,,
,Reed Blankenship,,O,,,,,O,,,,,,,,,,,Q
,James Bradberry,,O,,,,,,,,,,,,,,,,
,Shaun Bradley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,A.J. Brown,,,,,,,,,,,,,,,,,,O
,Sydney Brown,,,,O,O,Q,,,,,,,,,,,,O
,Grant Calcaterra,,,,,,,,,O,,O,Q,,,,,,
,Jalen Carter,,,,,,O,,,,,,,,,,,,
,Tyrie Cleveland,IR,,,,,,,,,,,,,,,,,
,Britain Covey,,,,,Q,,,,,,,,,,,,,
,Fletcher Cox,,Q,,,O,,,,,,,Q,,,,,,
,Zach Cunningham,,,,,,,,,,,,O,,O,O,D,,
,Jordan Davis,,,,,,,,Q,,,,,,,,,,
,Nakobe Dean,,IR,IR,IR,IR,IR,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Landon Dickerson,,,,,,,,,,,,,,,O,,,
,Noah Elliss,IR,,,,,,,,,,,,,,,,,
,Justin Evans,,,,Q,,O,IR,IR,IR,O,O,O,,,,,,
,Kenneth Gainwell,,O,,,,,,,,,,,,,,,,
,Dallas Goedert,,,,,,,,,,O,O,D,,,,,,
,Jalen Hurts,,,,,,,,,,,,,,Q,,,,
,Lane Johnson,,,,,,,,,,,Q,,,,,,,
,Roderick Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Cam Jurgens,,,,,O,IR,IR,IR,O,,,,,O,,,,
,Avonte Maddox,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
,Zech McPhearson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Nicholas Morrow,,,,,,,,,,,,,,,Q,,,
,Albert Okwuegbunam,,,,,,,,,,,,,,,,O,IR,IR
,Charleston Rambo,IR,IR,,,,,,,,,,,,,,,,
,Bradley Roby,,,,,,,O,O,O,,,,,,,,,
,Boston Scott,,,O,,,,,,O,,,,,,,,,
,Darius Slay,,,,,,O,,,,,,,,O,O,O,O,
,DeVonta Smith,,,,,,,,,,,,,,,,,O,
,D'Andre Swift,,,,,,,,,,,,,,,,,Q,
,Marlon Tuipulotu,,,,,O,Q,,,,,,,,,,,,
,Quez Watkins,,,O,O,,O,IR,IR,IR,IR,Q,,,,,,,
,Milton Williams,,,,,,,,,,,O,,,,,,,
