,Player,09/10vs. DAL,09/17vs. ARI,09/21vs. SFO,10/02vs. SEA,10/08vs. MIA,10/15vs. BUF,10/22vs. WAS,10/29vs. NYJ,11/05vs. LVR,11/12vs. DAL,11/19vs. WAS,11/26vs. NWE,12/11vs. GNB,12/17vs. NOR,12/25vs. PHI,12/31vs. LAR,01/07vs. PHI
,Deonte Banks,,,,,,,,,,,,,,,,Q,D
,Saquon Barkley,,,O,D,Q,Q,,,,,,,,,,,
,Cole Beasley,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
,Daniel Bellinger,,,,,Q,,,,,,,,Q,,,,
,Ben Bredeson,,,O,,,,,,,,,,,,,,
,Gary Brightwell,,,,,,Q,,O,IR,IR,IR,IR,IR,IR,Q,,
,Cam Brown,Q,,,,,,,,,,,,,,,,
,Randy Bullock,,,,,,,,,,,,,,,IR,IR,IR
,Vernon Butler,IR,,,,,,,,,,,,,,,,
,Lawrence Cager,,,,,,,,,,,,,,,Q,D,IR
,Parris Campbell,,,,,,,,,,Q,,,Q,,,,
,Jashaun Corbin,,,,,,,,,Q,Q,,,,,,,
,D.J. Davidson,Q,,,,,Q,,,,,,,,,,,
,Jarrad Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Joshua Ezeudu,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Cordale Flott,D,,,,,,,,,,,,,,,,
,Bryce Ford-Wheaton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Graham Gano,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
,Mark Glowinski,,,,,,,,,,Q,,,,,,,
,Eric Gray,,,,,,,,IR,IR,IR,IR,Q,,,,,
,Devery Hamilton,IR,,,,,,,,,,,,,,,,
,J.C. Hassenauer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Adoree' Jackson,,,,,,,Q,Q,,O,O,,,,,,
,Deon Jackson,,,,,,,,,,O,,,,,,,
,Leonard Johnson,IR,,,,,,,,,,,,,,,,
,Daniel Jones,,,,,,O,Q,O,,IR,IR,IR,IR,IR,IR,IR,IR
,Dexter Lawrence,,,,,,,,,,,,D,Q,Q,Q,,
,Shane Lemieux,,,,,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Bobby McCain,,,,,,,,,,,Q,,,,,,
,Micah McFadden,,,Q,,,Q,,,,,,,,,,,
,Andre Miller,IR,,,,,,,,,,,,,,,,
,Chris Myarick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
,Evan Neal,,,,,,Q,Q,Q,Q,O,O,O,O,D,O,IR,IR
,Rakeem Nunez-Roches,,,,,,,,,,,,,,,O,,
,Azeez Ojulari,,D,O,,,O,IR,IR,IR,Q,,,,,,,
,Gervarrius Owens,D,,,,,,,,,,,,,,,,
,Matt Peart,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,,
,Tyre Phillips,,,,,,,,,,,,,,,,,IR
,Jason Pinnock,,,,,,,,,,,,,,,,,O
,Justin Pugh,,,,,,,,,,,,,,Q,,,
,A'Shawn Robinson,,,,,,,,,,,,,Q,,Q,,
,Wan'Dale Robinson,D,D,Q,,,,,,,,,,,,,Q,
,John Michael Schmitz,,,,,O,O,O,Q,,,,,,,,,Q
,Isaiah Simmons,,,,,,,,,,,,,Q,,,,
,Darius Slayton,,,,,,,,,,,,D,,,,,
,Elerson Smith,IR,,,,,,,,,,,,,,,,
,Tyrod Taylor,,,,,,,,,O,IR,IR,IR,,,,,
,Kayvon Thibodeaux,,,,,,,,Q,,,,,,,,,
,Andrew Thomas,,Q,O,O,O,O,O,D,Q,,Q,,,,,,
,Darren Waller,Q,,,,,Q,,Q,O,IR,IR,IR,IR,Q,,,
,Cade York,,,,,,,,,,,,,,,IR,IR,IR
