,Player,09/10vs. IND,09/17vs. KAN,09/24vs. HOU,10/01vs. ATL,10/08vs. BUF,10/15vs. IND,10/19vs. NOR,10/29vs. PIT,11/12vs. SFO,11/19vs. TEN,11/26vs. HOU,12/04vs. CIN,12/10vs. CLE,12/17vs. BAL,12/24vs. TAM,12/31vs. CAR,01/07vs. TEN
,Jamal Agnew,,,,Q,Q,,,,,IR,IR,IR,IR,Q,,,
,Christian Braswell,,,,,O,O,IR,IR,IR,IR,IR,IR,O,Q,Q,,
,Tyson Campbell,,,,,,,O,Q,,O,O,Q,O,O,Q,,
,Andre Cisco,,,,,,,,Q,Q,,,,,O,Q,,
,Ezra Cleveland,,,,,,,,,Q,,,,,Q,,,
,Travis Etienne,,,,,,,,,,,,Q,Q,,,,
,Luke Farrell,,,,,,,,,,,,Q,,,,,
,Folorunso Fatukasi,,,Q,Q,Q,,,,,,,,Q,,,,
,Luke Fortner,,Q,,,,,,,,,,,,,,,
,DaVon Hamilton,IR,IR,IR,IR,IR,O,O,,,,,,,,,,
,Anton Harrison,,,,Q,,,,,,Q,,,,,,,
,Tre Herndon,,,,,,,,,,,,,O,Q,,,
,Josh Hines-Allen,,,Q,,,,,,,,,,,,,,
,Cooper Hodges,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Antonio Johnson,O,O,O,O,Q,,,,,,,,,,,,
,D'Ernest Johnson,,,,,,,,,,,,,Q,,,,
,Zay Jones,,,O,O,Q,O,O,O,O,Q,Q,,,,Q,Q,Q
,Gregory Junior,,IR,IR,IR,IR,IR,IR,O,,,,,,,,,
,Christian Kirk,,,,,,,,,,,,,IR,IR,IR,IR,Q
,Tyler Lacy,O,Q,,,,,,,,,,,,,,,
,Trevor Lawrence,,,,,,,Q,Q,,,,,Q,,Q,O,Q
,Walker Little,,,,,,O,O,Q,,,,,O,Q,,,
,Devin Lloyd,,,,O,O,Q,,,,,,,,,,,
,Ross Matiscik,,,,,,,,,,,,,,Q,,,
,Ventrell Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Henry Mondeaux,IR,,,,,,,,,,,,,,,,IR
,Jaylon Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Roy Robertson-Harris,,,,,,,,,,Q,Q,,,,,,
,Cam Robinson,,,,,,,,,,,,IR,IR,IR,IR,Q,
,Brandon Scherff,,Q,,,,,Q,Q,,,,,,,,,
,Dawuane Smoot,,,,,O,,,,,,,,,,,,
,Brenton Strange,,,,,,,,,,,,Q,O,Q,Q,,
,Leonard Taylor,IR,IR,,,,,,,,,,,IR,,,,
,Daniel Thomas,,,,,,,,,Q,,,,,,,IR,IR
,Parker Washington,,,,,IR,IR,IR,IR,IR,Q,,,,,,,
,Josh Wells,IR,,,,,,,,,,,,,,,,
,Andrew Wingard,,,Q,,,,,,,,,,,,,,
