,Player,09/11vs. BUF,09/17vs. DAL,09/24vs. NWE,10/01vs. KAN,10/08vs. DEN,10/15vs. PHI,10/29vs. NYG,11/06vs. LAC,11/12vs. LVR,11/19vs. BUF,11/24vs. MIA,12/03vs. ATL,12/10vs. HOU,12/17vs. MIA,12/24vs. WAS,12/28vs. CLE,01/07vs. NWE
,Israel Abanikanda,,,,,,,,,,,,Q,,,Q,Q,
,Tony Adams,,,O,O,,,,,,,,,,,,,
,Adrian Amos,,,,,,,,Q,,,,,,,,,
,Bradlee Anae,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Zaire Barnes,,,,,,,,,,,,,,O,IR,IR,IR
,Nick Bawden,,,,,,Q,,,,,,,,Q,,,
,Mekhi Becton,Q,Q,,,,,,,,,Q,,,,,,
,Jarrick Bernard-Converse,,,,,Q,,,,,,,,,,,,
,Duane Brown,Q,Q,O,IR,IR,IR,IR,O,O,O,Q,,,,Q,IR,IR
,Jason Brownlee,,,,,,,,,,,,,O,O,,,
,Yodny Cajuste,IR,,,,,,,,,,,,,,,,
,Michael Carter II,,,,,,,Q,,,Q,D,,,,,,
,Irvin Charles,,,,,,,D,,,,,,,,,,
,Chuck Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Micheal Clemons,,,,,,Q,,,,,,,,,,,
,Randall Cobb,,,,,,,Q,,,,,,,,,,
,Dalvin Cook,,,,,,,,,,,,Q,,,,,
,Brandin Echols,,,,,O,O,,,,,,,,,,,
,Samuel Eguavoen,,,,,Q,,,,,O,Q,,,,,,
,John Franklin-Myers,,,Q,,,,,,,,,,Q,Q,Q,,
,Sauce Gardner,,,,,,O,,,,,,,,,,,
,Xavier Gipson,,,,,,Q,,,,,,,,,,,
,Javelin Guidry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Breece Hall,Q,Q,,,,,,,,,,Q,Q,,,,
,Maalik Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jake Hanson,,,,,,,,,,,,,,,,,O
,Justin Hardee,,,,,,O,IR,IR,IR,IR,IR,IR,,,,,
,Quinton Jefferson,,,,,,,,,,,,,,,IR,IR,IR
,Allen Lazard,,,,,,,,Q,,,,,,,,Q,
,Will McDonald,,,,,,,Q,,Q,Q,,,,Q,,,
,Connor McGovern,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Max Mitchell,,,,,,,,,,,,,,Q,,,
,Jimmy Moreland,IR,,,,,,,,,,,,,,,,
,Hamsah Nasirildeen,IR,,,,,IR,IR,,,,,,,,,,
,Ifeadi Odenigbo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,D.J. Reed,,,,,O,O,,,,,,,,,,,
,Aaron Rodgers,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,O,O,O,O,O
,Jeremy Ruckert,,,,,,,,,,,,,,,,O,O
,Wes Schweitzer,,,O,O,,,,IR,IR,IR,IR,Q,O,IR,IR,IR,D
,Tanzel Smart,,,,,,,,,,,,,IR,IR,IR,IR,IR
,Diontae Spencer,IR,,,,,,,,,,,,,,,,
,Chris Streveler,IR,,,,,,,,,,,,,,,,
,Chazz Surratt,,,,,,,,O,O,O,,,,,,,
,Joe Tippmann,,,,,,,O,,,,,,,Q,,,
,Billy Turner,,,,,Q,,,,O,O,Q,,,,,,
,C.J. Uzomah,,,,,,,,,,,,,IR,IR,IR,IR,IR
,Alijah Vera-Tucker,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Carter Warren,IR,IR,IR,IR,Q,,,,,,,,Q,D,,,
,Jordan Whitehead,,,,,,,,,,,,,,,Q,,
,Garrett Wilson,,,,,,,,,,Q,,,,,,,
,Zach Wilson,,,,,,,,,,,,,,,O,O,O
,Perrion Winfrey,,,,,,,,,,,,,IR,IR,IR,IR,IR
,Al Woods,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kenny Yeboah,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,Q,,,,,,
,Greg Zuerlein,,O,Q,,,,,,,,,,,,,Q,
