,Player,09/10vs. CHI,09/17vs. ATL,09/24vs. NOR,09/28vs. DET,10/09vs. LVR,10/22vs. DEN,10/29vs. MIN,11/05vs. LAR,11/12vs. PIT,11/19vs. LAC,11/23vs. DET,12/03vs. KAN,12/11vs. NYG,12/17vs. TAM,12/24vs. CAR,12/31vs. MIN,01/07vs. CHI,01/14vs. DAL,01/20vs. SFO
,Jaire Alexander,,,Q,Q,Q,Q,Q,,D,Q,Q,Q,O,Q,Q,,,Q,Q
,Zayne Anderson,,,O,O,O,Q,,,,,,,,,,,,,
,David Bakhtiari,,Q,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,De'Vondre Campbell,,,,O,O,D,Q,,,,Q,Q,,,O,D,,,
,Kenny Clark,,,,,,,,,Q,,,,,,,,,,
,Jeff Cotton,IR,,,,,,,,,,,,,,,,,,
,Tyler Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Josiah Deguara,,,,,,,,,,,D,Q,,,,,,,
,AJ Dillon,,,,,,,,,,,Q,,,Q,Q,,O,D,Q
,Romeo Doubs,Q,,,,,,,,,,,,,,,,,,
,Kingsley Enagbare,,,,,,,,,,,,,,,,,,,O
,Rudy Ford,,,,,Q,,,Q,Q,D,Q,Q,,,Q,,O,IR,IR
,Rashan Gary,,,,,,,,,,Q,,,,,,,,,
,Jake Hanson,IR,,,,,,,,,,,,,,,,,,
,Elgton Jenkins,,,O,O,,Q,,,,,,,,,,,Q,,
,Aaron Jones,,Q,Q,Q,Q,Q,,,,,O,O,Q,Q,,,,,
,Isaiah McDuffie,,,,,,,,,,,,,,,,,D,,Q
,Tarvarius Moore,IR,,,,,,,,,,,,,,,,,,
,Luke Musgrave,,,,,,,Q,,,,IR,IR,IR,IR,O,D,Q,,
,Josh Myers,,,,,,,Q,,Q,,,,,,,,,,
,Yosh Nijman,,,,,,Q,,,Q,,,,,,,,,,
,Jayden Reed,,,,,,,,,,,,Q,,,Q,,Q,,
,Robert Rochell,,,,,,,,,,,,Q,,,Q,Q,,,
,Jon Runyan Jr.,,,,,,,,,Q,,,,,,,,,,
,Darnell Savage Jr.,,,,,,Q,IR,IR,IR,IR,O,Q,Q,Q,O,Q,,,
,Tedarrell Slaton,,,,,,,,,,,,,,,Q,Q,,,
,Preston Smith,,,,,,,,,,,,,,,,,Q,,
,Eric Stokes,,,,,Q,Q,IR,IR,IR,IR,IR,D,Q,Q,,O,IR,IR,IR
,Luke Tenuta,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,D,D,Q,,
,Zach Tom,,,,Q,,,,,,,,,,,,,,,
,Samori Toure,,,,,,,,,,,,,,,,,IR,IR,IR
,Carrington Valentine,,,,Q,,,,,,,,,,,,,,,
,Lukas Van Ness,,,Q,,,,,,,,,,,,,,,,
,Quay Walker,,,,,,Q,,,D,Q,,,D,Q,,,,,
,Christian Watson,O,Q,Q,Q,,,,,,,,,O,D,D,D,Q,Q,
,Daniel Whelan,,,,,,,,,,,,,,,,,,,Q
,Dontayvion Wicks,,,,,,,,,,,Q,Q,,Q,Q,Q,Q,,
,Emanuel Wilson,,,,,,,,,,,IR,IR,IR,IR,D,D,Q,,
,Devonte Wyatt,,,,,,Q,,,,,,,,,,,,,
