,Player,09/10vs. ATL,09/18vs. NOR,09/24vs. SEA,10/01vs. MIN,10/08vs. DET,10/15vs. MIA,10/29vs. HOU,11/05vs. IND,11/09vs. CHI,11/19vs. DAL,11/26vs. TEN,12/03vs. TAM,12/10vs. NOR,12/17vs. ATL,12/24vs. GNB,12/31vs. JAX,01/07vs. TAM
,Henry Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Amare Barno,,,,,,,,,,,,,,Q,,IR,IR
,Vonn Bell,,,,,,O,O,D,Q,,,O,,,,,
,Dicaprio Bootle,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
,Bradley Bozeman,,,,,,,,,,,,,Q,,,,
,Derrick Brown,,,,,,Q,,,,,,,,,,,
,Brian Burns,,,,,,Q,Q,,O,,,,,Q,,,
,Damiere Byrd,IR,,,,,,,,,,,,,,,,
,DJ Chark,O,Q,,,,,,Q,D,,,,,,,,
,Claudin Cherelus,,,,,,,,O,IR,IR,IR,IR,IR,IR,Q,,
,Jeremy Chinn,,,,,,,IR,IR,IR,IR,O,Q,,,,,
,Brady Christensen,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Tarik Cohen,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,
,Austin Corbett,,,,,O,O,,,,,IR,IR,IR,IR,IR,IR,IR
,Tae Davis,,,,,,,,,,,,,,,,,Q
,Ikem Ekwonu,,,,,,,,,,,,,,,,Q,
,Sam Franklin,,,,,,,,,,,Q,,,Q,Q,,
,Yetur Gross-Matos,,,,,,,IR,IR,IR,IR,O,Q,Q,Q,,,
,Kamu Grugier-Hill,,,,,,,Q,,,,,,,,,,
,Marquis Haynes,IR,IR,IR,IR,IR,IR,IR,IR,Q,O,Q,Q,Q,,,Q,O
,C.J. Henderson,,,,,,,,,O,O,D,,,,,,
,Troy Hill,,,,,,,,,,,,Q,,,,O,
,Jaycee Horn,,IR,IR,IR,IR,IR,IR,IR,IR,O,D,Q,,,,Q,Q
,Justin Houston,,,Q,,,,,O,IR,IR,IR,IR,IR,IR,IR,,
,Hayden Hurst,,,,,,,,,,O,O,O,O,O,IR,IR,IR
,Donte Jackson,,,,,Q,,,Q,,,,,,,,,
,D'Shawn Jamison,,,,,,,,,,,,,,Q,,,
,Nash Jensen,,,,,,,,,,,,Q,,,,,
,DJ Johnson,,,,,,,,,,,,Q,,,,,
,Frankie Luvu,,,,Q,,,Q,,,,Q,,,,,Q,
,Cade Mays,,,,,,,,,,,,,,,,,D
,Justin McCray,,,,,,,,,,,,,,O,IR,IR,IR
,Jonathan Mingo,,,,Q,,,,,,,,,,,,,IR
,Taylor Moton,,,,,,,Q,,,,,,,,,,
,Eddy Piñeiro,,,,,,,,,,,,,,,,,D
,Giovanni Ricci,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jammie Robinson,,,,,,,,,,,,,,Q,,,
,Miles Sanders,,,,Q,,O,,,,,,,,,,,
,Laviska Shenault Jr.,,,,,,,O,O,O,Q,,IR,IR,IR,IR,IR,IR
,Stephen Sullivan,IR,IR,IR,IR,O,Q,,,O,Q,,,Q,,,,
,Adam Thielen,Q,,,,,,,,,,,,,,,,
,Ian Thomas,,,,,,IR,IR,IR,IR,Q,,,,O,Q,,
,Stantley Thomas-Oliver,,IR,IR,,,,,,,,,,,,,,
,Shaq Thompson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Tommy Tremble,,,,,,,,,,,,D,Q,,,,
,Luiji Vilain,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,DeShawn Williams,,,,,,,,,,,,,O,,,,
,Xavier Woods,,,,O,O,O,Q,,Q,Q,,,,,,,
,Chandler Wooten,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Derek Wright,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
,Bryce Young,,,O,,,,,,,,,,,,,,
,Chandler Zavala,,,,,,O,,,,,,IR,IR,IR,IR,IR,IR
