,Player,09/10vs. DEN,09/17vs. BUF,09/24vs. PIT,10/01vs. LAC,10/09vs. GNB,10/15vs. NWE,10/22vs. CHI,10/30vs. DET,11/05vs. NYG,11/12vs. NYJ,11/19vs. MIA,11/26vs. KAN,12/10vs. MIN,12/14vs. LAC,12/25vs. KAN,12/31vs. IND,01/07vs. DEN
,Davante Adams,,,,,Q,,,,,,,,,P,,,
,Jakorian Bennett,,,,,Q,Q,O,,,,,,,,,,
,Curtis Bolton,,,,O,,,,Q,,,,,,,,,
,Brittain Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Adam Butler,,,,,,,,,,,,,,Q,,,
,Darien Butler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Daniel Carlson,,,,,,,,Q,,,,,,,,,
,DeAndre Carter,Q,,,,,,,,,,,,,,,,
,Maxx Crosby,,,,Q,,,,,,,,D,Q,P,,,
,Divine Deablo,,,,,,,,O,O,,,,,,,,
,Jermaine Eluemunor,,,,,,,,,,,,,,,,Q,
,Marcus Epps,,,,,,,,,,,,Q,,,,,
,Brandon Facyson,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,Q,,Q
,Cole Fotheringham,,,,,,,,,,,,,,,,,IR
,Jimmy Garoppolo,,,,O,,,O,,,,,,,,,,
,Sebastian Gutierrez,,,,,,,IR,IR,,,,,,,,,
,Darius Harris,IR,,,,,,,,,,,,,,,,
,Justin Herron,,,,,,O,,,,,,,,,,,
,Nate Hobbs,,,,O,O,O,O,Q,,,,,,,,,
,Jacob Hollister,IR,,,,,,,,,,,,,,,,
,Jesper Horsted,,,,,,,,,,,,,,,Q,IR,IR
,Josh Jacobs,,,,,,,,,,,,,,O,Q,D,O
,Andre James,,,,,,,,,,,,,,O,,Q,
,Jakob Johnson,,,,,,,,,O,Q,,,,,,,Q
,Chandler Jones,O,O,,,,,,,,,,,,,,,
,Jack Jones,,,,,,,,,,,,,,,Q,,
,Malcolm Koonce,,,,Q,,,,,,,,,,,,,
,David Long,,,,,Q,,,,,,,,,,,,
,Luke Masterson,,,,,,,,,O,,,,,,,,
,Kana'i Mauga,,,,,,,,,IR,IR,IR,IR,Q,IR,IR,IR,IR
,Michael Mayer,,,,,,,,,,,,,,,O,O,O
,Jakobi Meyers,,O,,,,,,,,,,,,,,,
,Kolton Miller,,,,,,,,,,D,Q,Q,O,O,Q,,
,Thayer Munford,,,,,,,,,O,,,,,,,,D
,Dylan Parham,,,,,,,,,,,Q,,,,,,
,Brandon Parker,IR,,,,,,,,,,,,,,,,
,Marcus Peters,,,,,,,,,,Q,,,,,,,
,Robert Spillane,,,,,,,,,Q,,,Q,,,,,
,Roderic Teamer,,,,Q,,,IR,IR,IR,IR,Q,Q,,,,,
,Noah Togiai,,,,,,,IR,IR,,,,,,,,,
,DJ Turner,IR,,,,,,,,,,,,,,Q,,
,Dalton Wagner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Austin Walter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Tyree Wilson,,,Q,,,,,,,,,,,,,,
,Isaiah Zuber,IR,,,,,,,,,,,,,,,,
