,Player,09/10vs. SEA,09/17vs. SFO,09/25vs. CIN,10/01vs. IND,10/08vs. PHI,10/15vs. ARI,10/22vs. PIT,10/29vs. DAL,11/05vs. GNB,11/19vs. SEA,11/26vs. ARI,12/03vs. CLE,12/10vs. BAL,12/17vs. WAS,12/21vs. NOR,12/31vs. NYG,01/07vs. SFO,01/14vs. DET
,Tutu Atwell,,,,,,,,,,,,,,Q,,,,
,Stetson Bennett,O,,,,,,,,,,,,,,,,,
,Bobby Brown,,,,,,IR,IR,IR,IR,,,,,,,,,Q
,Aaron Donald,,,,,,,,,,,,,,Q,,,D,
,Kevin Dotson,,,,,,,,,,,,,,,,,,Q
,Cobie Durant,,,,,,,,,Q,Q,,,,,,,,
,Jordan Fuller,,,,,,,,,,,,,,,,,,Q
,Rob Havenstein,,,,,,,,Q,Q,,,,,Q,,,,
,Tyler Higbee,,,,Q,,,,,,,,,D,,,,D,Q
,Michael Hoecht,,,,,,,,,,,,Q,Q,,,,,
,Alaric Jackson,,,,Q,Q,,,,,,,,,,,Q,,
,Desjuan Johnson,,,,,D,,,,,,,,,,,,,
,John Johnson,,,,Q,,,,,,,,,,,,,,
,Shaun Jolly,IR,,,,,,,,,,,,,,,,IR,IR
,Ernest Jones,,,,,,Q,Q,Q,O,,,,,,,Q,D,
,Derion Kendrick,,,,,,,Q,,,,,,,,,,,
,Cooper Kupp,IR,IR,IR,IR,IR,,,,,,,,,,,,D,
,Quentin Lake,,,,,,,,,,,O,O,Q,,,,,
,Hunter Long,IR,IR,IR,IR,IR,IR,IR,O,O,,,,,IR,IR,IR,IR,IR
,Ochaun Mathis,IR,IR,IR,IR,IR,,,,,,,,,,,,,
,Larrell Murchison,,,,,,Q,O,,Q,,,,,,,,,
,Puka Nacua,,,Q,,,,,,Q,,,,,,,Q,,
,Joseph Noteboom,,,,,O,Q,,,,,,,,,Q,Q,D,Q
,Troy Reeder,,,,,,,,,,,,,,,,,,Q
,Ronnie Rivers,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
,Duke Shelley,,,,,,,,,,,,IR,IR,IR,IR,IR,O,
,Ben Skowronek,,,,Q,,,Q,Q,,,Q,,,,,,,
,Matthew Stafford,,,,,,,,,Q,,,,,,,,D,
,Jason Taylor,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
,Tre'Vius Tomlinson,,,,,,,,,,,,,,,O,O,,
,Alex Ward,,,,,,,,,,,,,,IR,IR,IR,IR,IR
,Kyren Williams,,,,,,,O,IR,IR,IR,IR,,,,,,D,
,Byron Young,,,,,,,,,,,,,Q,,,,,
