,Player,09/10vs. HOU,09/17vs. CIN,09/24vs. IND,10/01vs. CLE,10/08vs. PIT,10/15vs. TEN,10/22vs. DET,10/29vs. ARI,11/05vs. SEA,11/12vs. CLE,11/16vs. CIN,11/26vs. LAC,12/10vs. LAR,12/17vs. JAX,12/25vs. SFO,12/31vs. MIA,01/06vs. PIT,01/20vs. HOU,01/28vs. KAN
,Mark Andrews,Q,Q,,,,,,,,,,O,IR,IR,IR,IR,IR,Q,
,Jalyn Armour-Davis,,,,,,,,,,Q,,,,,O,O,IR,IR,IR
,Rashod Bateman,,,,O,,,,,,,,,,,,,,,
,Odell Beckham Jr.,,,O,O,Q,,,,,,,Q,,,,,O,,
,Ronald Darby,,,,,,,,,,,,,,,,,Q,,
,J.K. Dobbins,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Devin Duvernay,,,,,,,,,,,Q,,,IR,IR,IR,IR,Q,
,Zay Flowers,,,,,,,,,,,,Q,,,Q,Q,D,,
,Kyle Hamilton,,,,Q,,,,,,,,,,Q,,Q,Q,,
,Malik Hamm,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,Q,IR,IR,IR,IR
,Malik Harrison,,,,,,,,,,,,D,Q,,,,O,,
,Justice Hill,,,O,Q,Q,,,,,,,,,,,,,,
,Marlon Humphrey,O,O,O,O,Q,,Q,,,Q,,Q,,,,,O,O,Q
,Lamar Jackson,,,,,,,,,,,,,,,,,O,,
,Charlie Kolar,,,,,,,,,,,,Q,,,,,,,
,Tyler Linderbaum,,O,O,Q,,,,,,,,,,,,,,,
,Arthur Maulet,,,,,,,,,,,,,,,O,,Q,,
,Keaton Mitchell,IR,IR,IR,IR,Q,Q,,Q,,Q,,,,,IR,IR,IR,IR,IR
,Morgan Moses,,,,,D,,,,D,Q,,,,,,,,,
,David Ojabo,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Odafe Oweh,,,O,O,O,O,,Q,,,,,,,,,,,
,Del'Shawn Phillips,,,,,,,,,,,,,,,,Q,,Q,D
,Kevon Seymour,,,,,,,O,,,,,IR,IR,IR,IR,IR,IR,IR,IR
,John Simpson,,,,,,,,,,,Q,,,,,,,,
,Trenton Simpson,,,,,,,,,,,O,O,,,,,,,
,Ronnie Stanley,,O,O,Q,Q,,,,,,O,Q,,,,,,,
,Brandon Stephens,,,,,,,,,,,,,,,,Q,Q,,
,Jordan Swann,IR,IR,,,,,,,,,,,,,,,,,
,Tylan Wallace,,,,IR,IR,IR,IR,Q,,,,,,,,,Q,O,Q
,Ar'Darius Washington,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,
,Damarion Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,,,,,IR,IR
,Marcus Williams,,O,O,Q,,,O,O,Q,,,,,,,,,,
,Daryl Worley,,,,,O,IR,IR,IR,Q,,Q,,,,,,O,IR,IR
,Rock Ya-Sin,,,,,,,,,Q,,,,,,,,,,Q
,Kevin Zeitler,,,,,,,,,,,,,,,,Q,O,,
