,Player,09/10vs. TEN,09/18vs. CAR,09/24vs. GNB,10/01vs. TAM,10/08vs. NWE,10/15vs. HOU,10/19vs. JAX,10/29vs. IND,11/05vs. CHI,11/12vs. MIN,11/26vs. ATL,12/03vs. DET,12/10vs. CAR,12/17vs. NYG,12/21vs. LAR,12/31vs. TAM,01/07vs. ATL
,Paulson Adebo,,,O,O,Q,,,,,,,,,,,,
,Ugo Amadi,,,Q,,,,,,,,,,,,,,
,Eno Benjamin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Derek Carr,,,,Q,Q,,,,,,,,Q,,,,
,Ryan Connelly,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Demario Davis,,,,,,,Q,Q,,,,,,,,,
,Andrew Dowell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Isaiah Foskey,,,,,,,,,,O,Q,,O,O,O,Q,
,Max Garcia,,,,,,,,Q,,,,,,,,,
,Jimmy Graham,,,,,,,,Q,,,,,,,,,
,J.T. Gray,O,Q,,,,O,O,Q,,,,,,,,,Q
,Blake Grupe,,,,,,,,,,,,Q,Q,,,,
,Lou Hedley,,,,,,,,,,,,,,,,Q,
,Taysom Hill,,,,,,,,Q,,,,,Q,,,,
,Jordan Howden,,,,O,,,,,,,,,,,,,
,James Hurst,,,,,Q,,O,O,,,,,,,,,
,Juwan Johnson,,,,,O,O,O,,,,,,Q,,,,Q
,Lonnie Johnson Jr.,,,,,O,O,Q,,,,,,,,O,O,O
,Cameron Jordan,,,,,,,,,,,,Q,Q,,,,
,Alvin Kamara,,,,,,,,,,,,,,,,Q,Q
,Marshon Lattimore,,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
,Koda Martin,IR,IR,IR,,,,,,,,,,,,,,
,Tyrann Mathieu,,,,,,,Q,Q,,,,,,,,,
,Marcus Maye,,,,,,,,Q,,,,O,IR,IR,IR,IR,IR
,Erik McCoy,,,,,,,,,,,,Q,,,,,
,Kendre Miller,Q,Q,,,,,,,Q,O,O,O,O,O,Q,Q,Q
,Foster Moreau,,,O,Q,,,,,,,,,,,,,
,Chris Olave,,,,,,,,,,,,Q,Q,Q,,,
,Andrus Peat,,,,,Q,Q,,Q,,,,,,,,,
,A.T. Perry,,,,,,,,,,,,,,,,,Q
,Adam Prentice,,,,,,O,IR,IR,IR,Q,,,,,,,
,Ryan Ramczyk,,,,,,,O,,,,,,,Q,O,O,IR
,Malcolm Roach,,,,,,,,,Q,,,,IR,IR,IR,IR,IR
,Cesar Ruiz,,,,O,,,,,,,,,,,,,
,Nick Saldiveri,,,,,,,,,,,,,Q,IR,IR,IR,IR
,Khalen Saunders,,,,,,,,,,,,,,,,,Q
,Nephi Sewell,,,,,,,,,,,,,,,,,IR
,Rashid Shaheed,,,,,,,,,,,,O,Q,,,,
,Tre'Quan Smith,O,IR,IR,IR,,,,,,,,,,,,,
,Ty Summers,,,,,,,,,O,,,,,,,,
,Alontae Taylor,,,,,,,,Q,,,,,,,,,
,Michael Thomas,,,,,,,,Q,,,IR,IR,IR,IR,IR,IR,IR
,Payton Turner,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,O,O,Q
,Trai Turner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Pete Werner,,,,,,,,,,,,O,Q,,,,
,Jamaal Williams,,,O,IR,IR,IR,Q,,,,,,,Q,,,
,Landon Young,,,,,O,O,O,,,,,,,,,,O
