,Player,09/10vs. LAR,09/17vs. DET,09/24vs. CAR,10/02vs. NYG,10/15vs. CIN,10/22vs. ARI,10/29vs. CLE,11/05vs. BAL,11/12vs. WAS,11/19vs. LAR,11/23vs. SFO,11/30vs. DAL,12/10vs. SFO,12/18vs. PHI,12/24vs. TEN,12/31vs. PIT,01/07vs. ARI
,Jamal Adams,O,O,Q,,,,Q,,,Q,,,,Q,O,O,IR
,Nick Bellore,,,,,,,,,,,,,,Q,,Q,Q
,Anthony Bradford,,,,,,,,Q,O,,,,,,,,
,Jordyn Brooks,,,,,,,,,Q,,,,Q,,,O,Q
,Evan Brown,,,,Q,,Q,,,,,,,,,Q,,
,Tre Brown,,,,O,,,,,,Q,,,Q,,Q,,
,Coby Bryant,,,O,D,O,IR,IR,IR,IR,IR,,,,,,,
,Artie Burns,,,,O,O,,,,,,,,,,,,
,Devin Bush Jr.,,Q,,,,,,,,,,,,,,,
,Zach Charbonnet,,,,,,Q,,,,,,,Q,,,,
,Frank Clark,,,,,,,,,,,,,,,O,,
,Charles Cross,,O,O,D,,,,,,,,,,,,,
,Jake Curhan,,,,,,Q,,,,,,,,,,,
,DeeJay Dallas,,,Q,,,,,,,,,,,,,,
,Quandre Diggs,,,Q,,,,,,,,,,,,,,
,Will Dissly,,,D,Q,,,,,,,,Q,,,,,
,Mario Edwards,,,,,,,,,,,,,,,,O,O
,D'Wayne Eskridge,,,,,,,,,,,,Q,,Q,O,O,IR
,Noah Fant,,,,Q,,,,,,,,,,,,,
,Austin Faoliu,,,,,,,O,Q,,,,,,,,,
,Derick Hall,,,,Q,,,,,,,,,,,,,
,Phil Haynes,,,Q,,Q,Q,D,Q,,,,O,IR,IR,IR,IR,O
,Ra'Shaun Henry,IR,IR,IR,IR,,,,,,,,,,,,,
,Dre'Mont Jones,,,,Q,,,,,,,,,,,,,
,Damien Lewis,Q,,,,D,,,,,,,,,,,,
,Drew Lock,,,,,Q,,,,,,,,,,,,
,Tyler Lockett,,,,,,,Q,,,Q,,,,,,,
,Julian Love,,,Q,,,,,,,,,,,,,,
,Abraham Lucas,,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,,,,,,O
,Boye Mafe,,Q,,,,,,,,,,,,,,,
,Kenny McIntosh,O,IR,IR,IR,IR,IR,O,Q,Q,,,,,,,,O
,D.K. Metcalf,,,Q,,,Q,,,,,,,,,,,
,Mike Morris,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Uchenna Nwosu,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Josh Onujiogu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Colby Parkinson,,,,,,,,,Q,,,,,,,,
,Jason Peters,,,,,,,,,,,,,,,,O,Q
,Jarran Reed,,,Q,,,,,,,,,,,,,,Q
,Jerrick Reed,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
,Geno Smith,,,,,,,,,,,Q,,,Q,,,
,Drake Thomas,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kenneth Walker III,,,,,,,,,,,D,D,Q,,Q,Q,
,Andrew Whitaker,IR,IR,IR,IR,,,,,,,,,,,,,
,Leonard Williams,,,,,,,,,,,,Q,,,,,
,Devon Witherspoon,Q,,,,,,,,,,,,,Q,Q,Q,
,Riq Woolen,,,D,,,,,,,,,,,,,,
,Dareke Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,D,D,,,,,
