,Player,09/10vs. SFO,09/18vs. CLE,09/24vs. LVR,10/01vs. HOU,10/08vs. BAL,10/22vs. LAR,10/29vs. JAX,11/02vs. TEN,11/12vs. GNB,11/19vs. CLE,11/26vs. CIN,12/03vs. ARI,12/07vs. NWE,12/16vs. IND,12/23vs. CIN,12/31vs. SEA,01/06vs. BAL,01/15vs. BUF
,Montravius Adams,,,,,,,,,O,,O,Q,,,,,,
,Kwon Alexander,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Ja'Marcus Bradley,IR,,,,,,,,,,,,,,,,,
,Hakeem Butler,IR,,,,,,,,,,,,,,,,,
,Mason Cole,,,,,,,,,,,,,Q,,,,,
,James Daniels,,,,O,O,,,,,,,,,,,,,
,Minkah Fitzpatrick,,,,,,,,O,O,,O,,,,O,O,Q,
,Pat Freiermuth,,,,,O,IR,IR,IR,IR,IR,,,,,,,,
,Najee Harris,,,,,,,,,,,,,Q,,,,,
,Pressley Harvin III,,,,O,O,,,,,,,,,,,,,
,Cameron Heyward,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
,Alex Highsmith,,,,,Q,,,,,,,,,P,,,,
,Cole Holcomb,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Diontae Johnson,,O,IR,IR,IR,,,,,,,,,,,,,
,DeMarvin Leal,,,,,O,,,,,,,,,,,,,
,Anthony McFarland Jr.,,O,IR,IR,IR,,,,,,,,,,,,,
,Dan Moore,,,,,O,,,,,,,,,,,,,
,Keanu Neal,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Larry Ogunjobi,Q,,,,,,,,,,,,,,,,,
,Gunner Olszewski,,,O,,,,,,,,,,,,,,,
,Kenny Pickett,,,,,,,,,,,,,O,O,O,Q,,
,James Pierre,,,,,,,Q,,,,Q,,O,,,,,
,Joey Porter Jr.,,,,,,,Q,,,,,,,,,,,
,Elijah Riley,,,,,,,,,,,IR,IR,IR,IR,Q,,,
,Elandon Roberts,,,,,,,,,,,,,Q,,,O,Q,
,Chapelle Russell,IR,IR,IR,IR,IR,,,,,,,,,,,,,
,Josiah Scott,,IR,IR,IR,IR,IR,,,,,,,,,,,,
,Isaac Seumalo,,,,,,,,,,,,,Q,Q,,,,
,Trenton Thompson,,,,,,,,,,,,,,,O,O,Q,IR
,Cory Trice,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Levi Wallace,,,,,,,Q,Q,,,,,,,,,,
,T.J. Watt,,,,,,,,,,,,,,,,,,O
,Cody White,IR,,,,,,,,,,,,,,,,,
,Renell Wren,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
