,Player,09/10vs. BAL,09/17vs. IND,09/24vs. JAX,10/01vs. PIT,10/08vs. ATL,10/15vs. NOR,10/29vs. CAR,11/05vs. TAM,11/12vs. CIN,11/19vs. ARI,11/26vs. JAX,12/03vs. DEN,12/10vs. NYJ,12/17vs. TEN,12/24vs. CLE,12/31vs. TEN,01/06vs. IND,01/13vs. CLE,01/20vs. BAL
,Will Anderson,,,,,,,,,,Q,,,,O,O,Q,Q,Q,
,Grayland Arnold,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Alex Bachman,IR,,,,,,,,,,,,,,,,,,
,Andrew Beck,,,,,,,,,O,,,,,,,Q,Q,Q,Q
,Noah Brown,,IR,IR,IR,IR,IR,,,,Q,O,Q,Q,Q,,,O,Q,IR
,Blake Cashman,O,,,,,,,,,,,,,O,O,,,,
,Maliek Collins,,,,,Q,,,,,,,,,,Q,Q,Q,Q,
,Nico Collins,,,,,,,,,O,,,,,Q,Q,,,,
,Michael Deiter,,,,Q,,,,,,,,,,,,,,,
,Tank Dell,,,,,,Q,,,,,,Q,IR,IR,IR,IR,IR,IR,IR
,Ka'imi Fairbairn,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,
,George Fant,,,,,,,,,,,,,Q,O,,,,,Q
,Tyree Gillespie,IR,,,,,,,,,,,,,,,,,,
,Kendrick Green,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kenyon Green,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jonathan Greenard,,,,,,,,,,,,,,,,O,O,Q,
,Troy Hairston,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jake Hansen,,,,,Q,,,,O,O,O,Q,,,,,,,
,Christian Harris,,,,,O,Q,,,,,,,,,,,,,
,Neville Hewitt,,Q,,,,,,,,,,,,,,,,,
,Brandon Hill,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
,Dylan Horton,,,,,,,,,,Q,,,,,,,,,
,DeAndre Houston-Carson,,,,,,,,,,,,,O,,,,,,
,Tytus Howard,IR,IR,IR,IR,IR,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR
,Jerry Hughes,,,,,,,,,Q,,,,,,,,,O,O
,Xavier Hutchinson,,,,,,,Q,,,,,,,,,,,,
,Cameron Johnston,IR,IR,IR,IR,,,,,,,,,,,,,,,
,Josh Jones,,,,O,O,,,,,,,,,,,,,,
,Brevin Jordan,,,,,,,O,O,O,,,,,,,,,,
,Case Keenum,,,,,,,,,,,Q,,,,,,,,
,Greg Little,IR,,,,,,,,,,,,,,,,,,
,Shaq Mason,,,,,,,,,,,,,,Q,,,,,
,Jesse Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,John Metchie,O,,,,Q,,,,,,,,,,,,,,
,Eric Murray,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Steven Nelson,,,,,,,,,Q,,,,,Q,,Q,,,
,Dare Ogunbowale,Q,,,,,,,,,,,,,,,,,,
,Jarrett Patterson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Denzel Perryman,,,O,O,,,,,,,,,,,Q,,,,
,Dameon Pierce,,,,,,,,O,O,O,Q,,,,,,,,
,Jalen Pitre,,O,O,,,,,,,,,,,,,,,,
,Scott Quessenberry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Teagan Quitoriano,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Sheldon Rankins,,,,,,,O,Q,,,,Q,Q,,,Q,Q,Q,
,Hassan Ridgeway,,IR,IR,IR,IR,IR,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,DJ Scaife,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Dalton Schultz,,,,,,,,,,,,O,O,,,,,,
,Juice Scruggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,
,Taylor Stallworth,IR,,,,,,,,,,,,,,,,,,
,M.J. Stewart,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Derek Stingley Jr.,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
,C.J. Stroud,,Q,,,,,,,,,,,,O,O,,,,
,Tavierre Thomas,,,O,O,,,,,,,,,,O,IR,IR,IR,IR,IR
,Henry To'oTo'o,,,,,,,,,O,O,,,,Q,,,,,
,Laremy Tunsil,,Q,Q,O,Q,,,,,,,,,,,,Q,,
,Jimmie Ward,O,O,,,,,,,O,O,O,,,,,IR,IR,IR,IR
,Jared Wayne,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
,Robert Woods,,,,,,Q,O,O,Q,,,,,,,,Q,Q,
,Kilian Zierer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
