week,game_id,play_id,player_name,possession_team,defensive_team,pass_result,pass_length,route_of_targeted_receiver,game_clock,down,num_collision,collision_risk_score
1,2023090700,1494,Marvin Jones,DET,KC,I,24,IN,03:06,2,2,62.19846688359792
1,2023090700,2364,Kadarius Toney,KC,DET,IN,4,CROSS,11:04,3,2,83.33325656023837
1,2023090700,3461,Josh Reynolds,DET,KC,C,18,IN,10:46,3,2,42.36859229677462
1,2023090700,4041,Justin Watson,KC,DET,I,25,CORNER,02:09,4,2,83.33237465449076
1,2023090700,713,Noah Gray,KC,DET,I,4,OUT,02:11,2,2,83.33332687127677
1,2023090700,877,Marquez Valdes-Scantling,KC,DET,C,13,HITCH,14:25,2,2,78.4624642346431
1,2023091000,1720,Jonathan Mingo,CAR,ATL,I,11,HITCH,01:44,2,2,83.33330662567597
1,2023091000,1743,Jonathan Mingo,CAR,ATL,I,16,IN,01:39,3,2,68.85051861860076
1,2023091000,2207,Kyle Pitts,ATL,CAR,I,15,CROSS,10:24,2,2,83.21174988113975
1,2023091000,2823,Tyler Allgeier,ATL,CAR,C,8,OUT,00:55,1,2,74.1410643024025
1,2023091000,3369,Jonathan Mingo,CAR,ATL,I,43,GO,08:16,1,2,83.33332538665611
1,2023091001,3216,Robert Woods,HOU,BAL,I,17,IN,01:51,3,2,78.9562197509471
1,2023091001,4239,Tank Dell,HOU,BAL,C,13,HITCH,03:39,3,2,83.33284544289357
1,2023091001,4322,Robert Woods,HOU,BAL,I,5,IN,02:55,1,2,82.89281664474338
1,2023091001,4564,Xavier Hutchinson,HOU,BAL,C,7,IN,00:53,2,2,47.098217251396605
1,2023091002,3314,Tee Higgins,CIN,CLE,I,16,GO,00:26,2,2,83.24136689494591
1,2023091002,3571,Tee Higgins,CIN,CLE,I,7,HITCH,11:29,1,2,83.33323357477424
1,2023091003,143,Zay Jones,JAX,IND,I,6,HITCH,13:35,1,2,82.33887382525978
1,2023091003,1706,Zay Jones,JAX,IND,C,18,GO,05:02,2,2,80.52136204947782
1,2023091003,2608,Evan Engram,JAX,IND,C,23,GO,10:17,2,2,83.26603754661731
1,2023091003,3998,Mo Alie-Cox,IND,JAX,IN,19,CORNER,05:09,2,2,70.39600378048293
1,2023091003,410,Calvin Ridley,JAX,IND,C,24,GO,08:32,1,2,83.33281845109754
1,2023091004,1190,Justin Jefferson,MIN,TB,C,16,POST,14:08,1,2,82.98707746957143
1,2023091004,3244,Alexander Mattison,MIN,TB,I,9,FLAT,15:00,1,2,76.20832532778064
1,2023091004,3641,K.J. Osborn,MIN,TB,I,12,HITCH,10:08,3,2,83.33333330308994
1,2023091004,695,Mike Evans,TB,MIN,I,39,GO,06:29,3,2,83.18992876197373
1,2023091005,1016,Chris Olave,NO,TEN,I,29,CORNER,01:36,3,2,79.23474854114824
1,2023091005,159,Chig Okonkwo,TEN,NO,I,7,HITCH,14:56,1,2,52.17414008734372
1,2023091005,1721,DeAndre Hopkins,TEN,NO,I,17,IN,07:37,1,2,81.91182878934274
1,2023091005,2283,Juwan Johnson,NO,TEN,IN,19,POST,00:37,3,2,78.81433591177499
1,2023091005,2440,Chris Moore,TEN,NO,IN,46,CORNER,13:06,1,2,71.13141008322306
1,2023091005,301,Michael Thomas,NO,TEN,C,25,GO,13:35,1,2,83.30990585223282
1,2023091005,3067,DeAndre Hopkins,TEN,NO,IN,17,GO,03:14,3,2,82.91327235520187
1,2023091005,793,Tyjae Spears,TEN,NO,I,15,GO,04:34,1,2,82.78410127826618
1,2023091006,2188,George Pickens,PIT,SF,I,45,POST,01:31,2,2,83.21828789062008
1,2023091006,2380,Diontae Johnson,PIT,SF,I,8,SLANT,00:42,3,2,82.41815607216749
1,2023091006,2861,Brandon Aiyuk,SF,PIT,C,16,POST,12:00,1,2,83.19936632279517
1,2023091006,3472,Pat Freiermuth,PIT,SF,I,8,POST,02:06,4,3,100
1,2023091006,3779,Calvin Austin III,PIT,SF,C,13,HITCH,11:58,1,2,83.28733549448664
1,2023091006,3881,Connor Heyward,PIT,SF,IN,22,POST,10:23,1,2,81.79111583694325
1,2023091006,4163,Jaylen Warren,PIT,SF,I,1,FLAT,05:30,1,2,83.3333304481131
1,2023091006,4340,Allen Robinson,PIT,SF,C,18,HITCH,03:09,3,3,96.39474829797888
1,2023091006,575,Jauan Jennings,SF,PIT,I,13,IN,05:36,2,2,82.89948575525474
1,2023091006,598,George Kittle,SF,PIT,C,2,OUT,05:32,3,2,78.06560242630243
1,2023091007,1167,Zach Ertz,ARI,WAS,C,3,HITCH,14:46,1,2,83.1082036598525
1,2023091007,1620,Terry McLaurin,WAS,ARI,C,5,HITCH,06:17,1,2,66.3817113077539
1,2023091007,2013,Terry McLaurin,WAS,ARI,I,7,HITCH,01:09,1,2,83.32160772078036
