week,game_id,play_id,player_name,possession_team,defensive_team,pass_result,pass_length,route_of_targeted_receiver,game_clock,down,num_collision,collision_risk_score,ball_land_x,ball_land_y
9,2023110200,1258,George Pickens,PIT,TEN,I,5,SLANT,13:25,2,2,83.33322581104244,87.6100006103516,16.6100006103516
9,2023110200,2403,Najee Harris,PIT,TEN,C,1,FLAT,11:15,3,2,81.72513789490951,59.9199981689453,10.8800001144409
9,2023110200,2782,DeAndre Hopkins,TEN,PIT,I,25,GO,05:12,2,2,83.3333295422929,55.3300018310547,9.01000022888184
9,2023110200,4038,DeAndre Hopkins,TEN,PIT,I,18,GO,01:44,1,2,83.331979799164,39.8199996948242,49.9199981689453
9,2023110500,1313,Jaylen Waddle,MIA,KC,I,36,CORNER,11:50,1,2,83.29473780508327,86.4800033569336,11.1000003814697
9,2023110500,2313,Cedrick Wilson Jr.,MIA,KC,I,14,GO,14:01,2,2,83.31353561289329,76.8199996948242,54.3300018310547
9,2023110501,1101,Damiere Byrd,ATL,MIN,I,28,CROSS,13:28,2,2,79.40983123562889,69.6100006103516,38.7200012207031
9,2023110501,3055,T.J. Hockenson,MIN,ATL,I,3,SLANT,04:14,2,2,83.33333333333333,44.7400016784668,30.9400005340576
9,2023110501,414,Kyle Pitts,ATL,MIN,I,13,OUT,07:16,3,2,82.57690286219638,30.5900001525879,45.189998626709
9,2023110501,4550,KhaDarel Hodge,ATL,MIN,I,26,CORNER,00:15,2,2,83.16588894469211,47.2299995422363,-0.730000019073486
9,2023110502,1001,Mark Andrews,BAL,SEA,C,5,HITCH,14:19,1,2,75.59778742740995,92.4000015258789,23.8400001525879
9,2023110502,1176,Tyler Lockett,SEA,BAL,IN,27,GO,12:11,3,2,82.84688248637876,53.7400016784668,5.73999977111816
9,2023110502,1716,DK Metcalf,SEA,BAL,C,23,POST,02:39,1,2,82.86712551226908,62.189998626709,23.6200008392334
9,2023110502,2322,Justice Hill,BAL,SEA,I,25,WHEEL,13:36,2,2,71.20583841015791,17.1700000762939,47.3199996948242
9,2023110502,2435,Kenneth Walker III,SEA,BAL,I,1,FLAT,12:04,2,2,81.98806185537408,36.5699996948242,8.44999980926514
9,2023110502,3603,Odell Beckham,BAL,SEA,C,6,OUT,08:19,3,2,75.0709752437844,116.319999694824,50.439998626709
9,2023110503,1864,Marquise Goodwin,CLE,ARI,I,40,CORNER,01:24,2,3,100.00000000000003,82.8199996948242,41.5400009155273
9,2023110503,1931,Jordan Akins,CLE,ARI,I,4,HITCH,01:15,1,2,79.74730675078632,64.6100006103516,14.5699996948242
9,2023110503,2313,Marquise Brown,ARI,CLE,I,8,SLANT,12:43,3,3,100,18.7399997711182,16.0200004577637
9,2023110503,2809,Marquise Brown,ARI,CLE,I,7,SLANT,05:53,3,2,83.31854796646043,59.4300003051758,38.0200004577637
9,2023110503,3495,Amari Cooper,CLE,ARI,C,39,GO,08:41,3,3,100.00000000000003,96.629997253418,10.75
9,2023110504,3150,Puka Nacua,LA,GB,I,14,HITCH,00:46,2,2,83.33326484170084,51.7999992370605,53.3899993896484
9,2023110504,3596,Puka Nacua,LA,GB,I,3,OUT,09:08,1,2,82.49435362536876,38.4900016784668,5.6100001335144
9,2023110504,4025,Cooper Kupp,LA,GB,I,42,GO,03:08,2,2,74.08821494490823,107.48999786377,37.810001373291
9,2023110505,203,Cade Otton,TB,HOU,I,-1,FLAT,13:40,2,2,83.1517214848063,26.8299999237061,43.939998626709
